item,price,location,unit,quantity,date,currency,external_id
Eggs,17.75,ghat,piece,30,2024-11-15,LYD,wfp-hdx:92:2342:2024-11-15
Eggs,18.1,ghat,piece,30,2025-02-15,LYD,wfp-hdx:92:2342:2025-02-15
Eggs,15,ghat,piece,30,2025-03-15,LYD,wfp-hdx:92:2342:2025-03-15
Eggs,15,ghat,piece,30,2025-04-15,LYD,wfp-hdx:92:2342:2025-04-15
Eggs,10,ghat,piece,30,2025-06-15,LYD,wfp-hdx:92:2342:2025-06-15
Eggs,20,ghat,piece,30,2025-10-15,LYD,wfp-hdx:92:2342:2025-10-15
Eggs,18,ghat,piece,30,2025-11-15,LYD,wfp-hdx:92:2342:2025-11-15
Eggs,18.25,ghat,piece,30,2025-12-15,LYD,wfp-hdx:92:2342:2025-12-15
Eggs,27.15,ghat,piece,30,2026-02-15,LYD,wfp-hdx:92:2342:2026-02-15
Eggs,18.74,ghat,piece,30,2026-04-15,LYD,wfp-hdx:92:2342:2026-04-15
Eggs,17.75,khoms,piece,30,2024-06-15,LYD,wfp-hdx:92:2350:2024-06-15
Eggs,18.75,khoms,piece,30,2024-09-15,LYD,wfp-hdx:92:2350:2024-09-15
Eggs,15.75,khoms,piece,30,2024-10-15,LYD,wfp-hdx:92:2350:2024-10-15
Eggs,9.5,khoms,piece,30,2025-03-15,LYD,wfp-hdx:92:2350:2025-03-15
Eggs,20.5,khoms,piece,30,2025-06-15,LYD,wfp-hdx:92:2350:2025-06-15
Eggs,18.25,khoms,piece,30,2025-10-15,LYD,wfp-hdx:92:2350:2025-10-15
Eggs,25.25,khoms,piece,30,2025-12-15,LYD,wfp-hdx:92:2350:2025-12-15
Eggs,21.75,khoms,piece,30,2026-01-15,LYD,wfp-hdx:92:2350:2026-01-15
Eggs,21,khoms,piece,30,2026-02-15,LYD,wfp-hdx:92:2350:2026-02-15
Eggs,20.75,khoms,piece,30,2026-03-15,LYD,wfp-hdx:92:2350:2026-03-15
Eggs,24.5,khoms,piece,30,2026-05-15,LYD,wfp-hdx:92:2350:2026-05-15
Eggs,13.38,misrata,piece,30,2024-04-15,LYD,wfp-hdx:92:2354:2024-04-15
Eggs,16.13,misrata,piece,30,2024-05-15,LYD,wfp-hdx:92:2354:2024-05-15
Eggs,15.5,misrata,piece,30,2024-06-15,LYD,wfp-hdx:92:2354:2024-06-15
Eggs,17,misrata,piece,30,2024-08-15,LYD,wfp-hdx:92:2354:2024-08-15
Eggs,22,misrata,piece,30,2024-12-15,LYD,wfp-hdx:92:2354:2024-12-15
Eggs,15.75,misrata,piece,30,2025-02-15,LYD,wfp-hdx:92:2354:2025-02-15
Eggs,19,misrata,piece,30,2025-05-15,LYD,wfp-hdx:92:2354:2025-05-15
Eggs,21.25,misrata,piece,30,2026-02-15,LYD,wfp-hdx:92:2354:2026-02-15
Eggs,24,misrata,piece,30,2026-04-15,LYD,wfp-hdx:92:2354:2026-04-15
Eggs,19.5,murzuq,piece,30,2024-04-15,LYD,wfp-hdx:92:2336:2024-04-15
Eggs,16,murzuq,piece,30,2024-05-15,LYD,wfp-hdx:92:2336:2024-05-15
Eggs,20,murzuq,piece,30,2024-06-15,LYD,wfp-hdx:92:2336:2024-06-15
Eggs,19.6,murzuq,piece,30,2024-07-15,LYD,wfp-hdx:92:2336:2024-07-15
Eggs,20.5,murzuq,piece,30,2024-08-15,LYD,wfp-hdx:92:2336:2024-08-15
Eggs,22,murzuq,piece,30,2024-09-15,LYD,wfp-hdx:92:2336:2024-09-15
Eggs,18,murzuq,piece,30,2024-10-15,LYD,wfp-hdx:92:2336:2024-10-15
Eggs,22,murzuq,piece,30,2024-11-15,LYD,wfp-hdx:92:2336:2024-11-15
Eggs,21,murzuq,piece,30,2024-12-15,LYD,wfp-hdx:92:2336:2024-12-15
Eggs,22,murzuq,piece,30,2025-01-15,LYD,wfp-hdx:92:2336:2025-01-15
Eggs,20.25,murzuq,piece,30,2025-02-15,LYD,wfp-hdx:92:2336:2025-02-15
Eggs,20,murzuq,piece,30,2025-03-15,LYD,wfp-hdx:92:2336:2025-03-15
Eggs,20,murzuq,piece,30,2025-04-15,LYD,wfp-hdx:92:2336:2025-04-15
Eggs,17,murzuq,piece,30,2025-05-15,LYD,wfp-hdx:92:2336:2025-05-15
Eggs,17,murzuq,piece,30,2025-06-15,LYD,wfp-hdx:92:2336:2025-06-15
Eggs,22,murzuq,piece,30,2025-10-15,LYD,wfp-hdx:92:2336:2025-10-15
Eggs,22,murzuq,piece,30,2025-11-15,LYD,wfp-hdx:92:2336:2025-11-15
Eggs,23,murzuq,piece,30,2025-12-15,LYD,wfp-hdx:92:2336:2025-12-15
Eggs,23,murzuq,piece,30,2026-01-15,LYD,wfp-hdx:92:2336:2026-01-15
Eggs,28.12,murzuq,piece,30,2026-02-15,LYD,wfp-hdx:92:2336:2026-02-15
Eggs,25,murzuq,piece,30,2026-03-15,LYD,wfp-hdx:92:2336:2026-03-15
Eggs,23.75,murzuq,piece,30,2026-04-15,LYD,wfp-hdx:92:2336:2026-04-15
Eggs,24,murzuq,piece,30,2026-05-15,LYD,wfp-hdx:92:2336:2026-05-15
Eggs,18,sabha,piece,30,2024-04-15,LYD,wfp-hdx:92:2332:2024-04-15
Eggs,14.13,sabha,piece,30,2024-05-15,LYD,wfp-hdx:92:2332:2024-05-15
Eggs,17.25,sabha,piece,30,2024-06-15,LYD,wfp-hdx:92:2332:2024-06-15
Eggs,11.5,sabha,piece,30,2024-07-15,LYD,wfp-hdx:92:2332:2024-07-15
Eggs,17.13,sabha,piece,30,2024-08-15,LYD,wfp-hdx:92:2332:2024-08-15
Eggs,21,sabha,piece,30,2024-09-15,LYD,wfp-hdx:92:2332:2024-09-15
Eggs,14,sabha,piece,30,2024-10-15,LYD,wfp-hdx:92:2332:2024-10-15
